model	abbrev	name	lhs	op	rhs	Unstand_Est	Unstand_SE	STD_Genotype	STD_Genotype_SE	STD_All	p_value
C	Depr-Gate	Depression-Gating	GATE	=~	UkbAnh	0.11964204245543843	0.0213233028063264	0.5407535677069026	0.0963766009809231	0.5407537026944083	2.0132491806649985e-8
C	Depr-Gate	Depression-Gating	CaseAppDec	~~	CaseAppDec	0.10138440285893797	0.0283404833325804	0.9957348749736109	0.278342657070692	0.995737571343453	3.470683586387899e-4
C	Depr-Gate	Depression-Gating	CaseAppInc	~~	CaseAppInc	0.12271941457466069	0.0280961070170022	0.9278329930735626	0.212423430946969	0.9278332298761862	1.254790213936092e-5
C	Depr-Gate	Depression-Gating	CaseSleDec	~~	CaseSleDec	0.08409205972457463	0.0365291599870389	0.9661617272734254	0.419694143400546	0.9661615471047525	0.021332187510608353
C	Depr-Gate	Depression-Gating	CaseSleInc	~~	CaseSleInc	0.05716721066351658	0.0277505058983728	0.939692520712287	0.456151793339001	0.939692532054085	0.039394515523059545
C	Depr-Gate	Depression-Gating	CaseMotoInc	~~	CaseMotoInc	0.03609858327784063	0.0182747790775216	0.9143315512111012	0.462877308426716	0.9143317086059539	0.048231555351422484
C	Depr-Gate	Depression-Gating	CaseMotoDec	~~	CaseMotoDec	0.025004787060920595	0.0212931409184346	0.9387705141691121	0.799421177484424	0.9387711537248892	0.2402701506536162
C	Depr-Gate	Depression-Gating	CaseGuilt	~~	CaseGuilt	0.053430866446194346	0.0492358168323663	0.7242177858305655	0.66734562105779	0.7242185681423938	0.27783166305847945
C	Depr-Gate	Depression-Gating	CaseSui	~~	CaseSui	0.045544822960989	0.0270073152803643	0.6591976879844816	0.390893490394362	0.6591976780484096	0.091721015969432
C	Depr-Gate	Depression-Gating	CommDep	~~	CommDep	0.004285112033786123	0.00401521469193445	0.04934501599197303	0.0462374743188227	0.04934502037153032	0.28587310929843807
C	Depr-Gate	Depression-Gating	CommAnh	~~	CommAnh	0.009392575749064597	0.00296124348715263	0.10998122560560859	0.0346742793328848	0.1099812841558845	0.001514790431425641
C	Depr-Gate	Depression-Gating	CommAppDec	~~	CommAppDec	0.03582626116339528	0.00791120446761266	0.7476390336037099	0.165094553230225	0.7476387889324924	5.939067517157725e-6
C	Depr-Gate	Depression-Gating	CommAppInc	~~	CommAppInc	0.09871640098598049	0.0118611407237307	0.7439135722646769	0.0893839117583407	0.743913758198992	8.600113933894658e-17
C	Depr-Gate	Depression-Gating	CommSleDec	~~	CommSleDec	0.03035735992453529	0.0106723541257493	0.46370810502657944	0.163019619538924	0.4637076691473176	0.004448316644479195
C	Depr-Gate	Depression-Gating	CommSleInc	~~	CommSleInc	0.03332725959698719	0.0127703482866254	0.3544421412592246	0.135815645936935	0.35444215784416233	0.009061166563168254
C	Depr-Gate	Depression-Gating	CommFatig	~~	CommFatig	0.041029852654597916	0.0132445869616038	0.5768770729790155	0.186218163880234	0.5768775631039569	0.0019492465572140893
C	Depr-Gate	Depression-Gating	CommGuilt	~~	CommGuilt	0.03866460618144867	0.00715664911781294	0.5722946201090534	0.105929291585138	0.572294691777381	6.567702496451947e-8
C	Depr-Gate	Depression-Gating	CommConc	~~	CommConc	0.014804229544992624	0.00816341910162025	0.2870898506924048	0.158309191095551	0.2870902704248296	0.06975721136950713
C	Depr-Gate	Depression-Gating	CommSui	~~	CommSui	0.02131275835943603	0.00549855819719607	0.5702421096931469	0.147119085429896	0.5702426110802148	1.0616017826109142e-4
C	Depr-Gate	Depression-Gating	UkbDep	~~	UkbDep	0.005948131281166464	0.00462606271943315	0.13239693898106572	0.102969749320173	0.13239710295974647	0.19851741027612113
C	Depr-Gate	Depression-Gating	UkbAnh	~~	UkbAnh	0.01115750522541514	0.00483943312742913	0.227927992092061	0.0988613899853988	0.22792810588672377	0.021136365710239254
C	Depr-Gate	Depression-Gating	MDD	~~	MDD	1		1		1	NA
C	Depr-Gate	Depression-Gating	GATE	~~	GATE	1		1		1	NA
C	Depr-Gate	Depression-Gating	MDD	~~	GATE	0		0		0	NA
D	Case-Comm-Gate	Case-Community-Gating	CASE	=~	CaseAppDec	0.027121982664023773	0.0398004164743418	0.08499734678441004	0.124730225830504	0.0849973222770366	0.49558697137053126
D	Case-Comm-Gate	Case-Community-Gating	CASE	=~	CaseAppInc	-0.13004402794710712	0.0452807978729596	-0.35757345542866004	0.124506331304102	-0.35757304349109137	0.0040795205423456125
D	Case-Comm-Gate	Case-Community-Gating	CASE	=~	CaseSleDec	-0.06824196454618774	0.0420973586049177	-0.2313120146731266	0.142692152775468	-0.23131177334385253	0.10500670512515266
D	Case-Comm-Gate	Case-Community-Gating	CASE	=~	CaseSleInc	-0.0806035490349222	0.039922488033231	-0.32679067021454505	0.161858437089585	-0.3267901851480694	0.043487100538945826
D	Case-Comm-Gate	Case-Community-Gating	CASE	=~	CaseMotoInc	-0.07313875386894611	0.0313424194335651	-0.36808906819405407	0.157738688597041	-0.3680884893922077	0.01961988098847495
D	Case-Comm-Gate	Case-Community-Gating	CASE	=~	CaseMotoDec	-0.052109250497522366	0.0331197139291688	-0.31928563683175204	0.202933089928445	-0.319289000695809	0.11563536200286631
D	Case-Comm-Gate	Case-Community-Gating	CASE	=~	CaseGuilt	-0.18673923916183907	0.0570539127858011	-0.6874921482718628	0.210048597473841	-0.6874927141116862	0.0010640071523697445
D	Case-Comm-Gate	Case-Community-Gating	CASE	=~	CaseSui	-0.1976441664588728	0.050230810444424	-0.7519179153003729	0.191099468677931	-0.7519180717984766	8.329379812846871e-5
D	Case-Comm-Gate	Case-Community-Gating	COMM	=~	CommDep	0.18858076334231338	0.0161982271176466	0.6399395216559921	0.0549679082189319	0.6399395617864536	2.5185221089800933e-31
D	Case-Comm-Gate	Case-Community-Gating	COMM	=~	CommAnh	0.215842376542477	0.0149884275517899	0.738590505533842	0.0512888333543389	0.7385901757029465	5.129492967760738e-47
D	Case-Comm-Gate	Case-Community-Gating	COMM	=~	UkbDep	0.12543202398649073	0.0183704683447729	0.5917762549118232	0.0866701074876172	0.5917763049853884	8.615670346495636e-12
D	Case-Comm-Gate	Case-Community-Gating	COMM	=~	UkbAnh	0.1536988011002054	0.0187760866887518	0.6946828961095106	0.0848635447955006	0.6946831819510783	2.703199623421726e-16
D	Case-Comm-Gate	Case-Community-Gating	COMM	=~	CommAppDec	0.10979818917304215	0.0158498349977968	0.5015800072222634	0.0724051960622051	0.501580143276881	4.286372650585482e-12
